King,Jefferson,Clark,Kitsap,Thurston,Snohomish,Yakima,Island,Cowlitz,Stevens,Clallam,Klickitat,State Total
0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
6.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
7.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
8.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
15.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
17.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
35.0,0.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
64.0,0.0,6.0,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
116.0,0.0,8.0,8,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0
191.0,2.0,17.0,11,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
225.0,3.0,19.0,14,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0
254.0,3.0,20.0,15,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0
282.0,4.0,25.0,19,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
302.0,4.0,29.0,21,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0
328.0,4.0,32.0,22,11.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,408.0
351.0,4.0,36.0,23,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,437.0
360.0,4.0,39.0,24,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0
386.0,4.0,45.0,26,14.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,489.0
407.0,5.0,53.0,28,14.0,13.0,1.0,0.0,3.0,1.0,0.0,0.0,525.0
426.0,5.0,61.0,33,15.0,14.0,2.0,0.0,4.0,1.0,0.0,1.0,562.0
451.0,5.0,68.0,35,16.0,15.0,2.0,0.0,5.0,1.0,0.0,1.0,599.0
476.0,5.0,71.0,36,17.0,16.0,2.0,0.0,5.0,1.0,0.0,1.0,630.0
501.0,6.0,76.0,39,19.0,18.0,2.0,0.0,5.0,1.0,1.0,2.0,670.0
536.0,6.0,83.0,40,22.0,22.0,3.0,0.0,6.0,1.0,2.0,2.0,723.0
597.0,7.0,94.0,47,24.0,23.0,4.0,0.0,7.0,1.0,2.0,2.0,808.0
678.0,7.0,105.0,55,24.0,28.0,5.0,0.0,7.0,1.0,2.0,2.0,914.0
738.0,7.0,112.0,61,24.0,31.0,5.0,0.0,7.0,1.0,2.0,2.0,990.0
825.0,7.0,119.0,67,29.0,34.0,5.0,0.0,7.0,1.0,2.0,2.0,1098.0
896.0,12.0,127.0,68,32.0,35.0,5.0,0.0,8.0,1.0,3.0,2.0,1189.0
985.0,12.0,136.0,72,33.0,44.0,7.0,1.0,9.0,1.0,3.0,2.0,1305.0
1085.0,13.0,144.0,81,39.0,49.0,7.0,1.0,12.0,1.0,3.0,2.0,1437.0
1208.0,16.0,161.0,94,40.0,61.0,7.0,3.0,16.0,1.0,3.0,3.0,1613.0
1340.0,19.0,172.0,99,46.0,71.0,7.0,3.0,18.0,1.0,3.0,3.0,1782.0
1441.0,19.0,189.0,105,56.0,79.0,7.0,3.0,19.0,1.0,3.0,3.0,1925.0
1533.0,22.0,202.0,119,67.0,85.0,8.0,3.0,22.0,1.0,3.0,4.0,2069.0
1642.0,22.0,223.0,125,69.0,95.0,9.0,3.0,23.0,1.0,4.0,4.0,2220.0
1761.0,23.0,242.0,132,73.0,104.0,10.0,4.0,24.0,1.0,4.0,4.0,2382.0
1858.0,23.0,256.0,148,77.0,109.0,10.0,4.0,24.0,1.0,4.0,4.0,2518.0
1941.0,23.0,270.0,156,83.0,114.0,10.0,5.0,26.0,1.0,4.0,4.0,2637.0
2062.0,26.0,287.0,161,87.0,117.0,11.0,5.0,29.0,1.0,4.0,4.0,2794.0
2123.0,27.0,292.0,166,91.0,122.0,11.0,5.0,29.0,1.0,4.0,4.0,2875.0
2221.0,28.0,301.0,170,93.0,127.0,11.0,6.0,31.0,1.0,4.0,4.0,2997.0
2310.0,29.0,313.0,174,98.0,129.0,11.0,7.0,32.0,1.0,4.0,4.0,3112.0
2386.0,30.0,328.0,185,104.0,133.0,11.0,7.0,33.0,1.0,4.0,4.0,3226.0
2517.0,31.0,337.0,190,109.0,144.0,11.0,7.0,35.0,1.0,4.0,5.0,3391.0
2657.0,31.0,357.0,194,113.0,153.0,12.0,8.0,37.0,1.0,4.0,5.0,3572.0
2758.0,34.0,371.0,198,118.0,167.0,13.0,9.0,37.0,1.0,4.0,5.0,3715.0
2855.0,35.0,384.0,206,124.0,179.0,13.0,9.0,38.0,1.0,4.0,6.0,3854.0
3025.0,39.0,407.0,214,130.0,193.0,14.0,9.0,39.0,1.0,4.0,6.0,4081.0
3122.0,39.0,418.0,228,134.0,198.0,14.0,9.0,40.0,1.0,4.0,6.0,4213.0
3259.0,42.0,427.0,235,138.0,205.0,14.0,9.0,44.0,1.0,4.0,6.0,4384.0
3396.0,43.0,440.0,244,140.0,213.0,15.0,9.0,44.0,1.0,4.0,6.0,4555.0
3486.0,43.0,445.0,246,142.0,218.0,15.0,9.0,44.0,1.0,4.0,6.0,4659.0
3571.0,43.0,455.0,252,144.0,221.0,15.0,9.0,45.0,1.0,4.0,6.0,4766.0
3693.0,44.0,469.0,259,151.0,228.0,15.0,9.0,46.0,1.0,5.0,6.0,4926.0
3769.0,44.0,484.0,266,154.0,233.0,17.0,9.0,48.0,1.0,5.0,6.0,5036.0
3890.0,44.0,497.0,267,158.0,240.0,17.0,9.0,48.0,1.0,5.0,6.0,5182.0
4055.0,46.0,520.0,270,162.0,248.0,17.0,10.0,49.0,1.0,5.0,6.0,5389.0
